Netid State Recv-Q Send-Q                                          Local Address:Port     Peer Address:Port  Process
u_str ESTAB 0      0                                                           * 5946                * 15268        
u_str ESTAB 0      0                                                           * 24808               * 21707        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24656               * 25634        
u_dgr ESTAB 0      0                                                           * 11820               * 6670         
u_str ESTAB 0      0                                                           * 22732               * 24678        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 19809               * 16271        
u_str ESTAB 0      0                                          /run/user/1000/bus 21625               * 6094         
u_str ESTAB 0      0                                                           * 855274              * 847847       
u_str ESTAB 0      0                                                           * 852253              * 844229       
u_str ESTAB 0      0                                                           * 830851              * 830852       
u_seq ESTAB 0      0                                                           * 820589              * 820588       
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X1 801802              * 795531       
u_str ESTAB 0      0                                                           * 60895               * 60896        
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 18757               * 17361        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 24589               * 18699        
u_str ESTAB 0      0                                   /run/user/1000/pipewire-0 13266               * 12212        
u_str ESTAB 0      0                                                           * 25634               * 24656        
u_dgr ESTAB 0      0                                                           * 5555                * 6668         
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 27668               * 24799        
u_str ESTAB 0      0                                                           * 849079              * 849080       
u_str ESTAB 0      0                                                           * 801840              * 803862       
u_str ESTAB 0      0                                                           * 795519              * 795520       
u_str ESTAB 0      0                                          /run/user/1000/bus 17348               * 16238        
u_str ESTAB 0      0                                                           * 17242               * 17605        
u_str ESTAB 0      0                                                           * 12213               * 13267        
u_str ESTAB 0      0                                                           * 11880               * 15546        
u_str ESTAB 0      0                                                           * 852251              * 849117       
u_str ESTAB 0      0                                                           * 817134              * 817133       
u_str ESTAB 0      0                                                           * 804060              * 802180       
u_seq ESTAB 0      0                                                           * 31754               * 31753        
u_str ESTAB 0      0                                                           * 18875               * 18874        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 11951               * 12909        
u_str ESTAB 0      0                                 /run/dbus/system_bus_socket 14725               * 15539        
u_str ESTAB 0      0                                 /run/systemd/journal/stdout 20682               * 25685        
u_str ESTAB 0      0                                   /run/user/1000/at-spi/bus 781600              * 783371       
u_str ESTAB 0      0                                                           * 12212               * 13266        
u_str ESTAB 0      0                                          @/tmp/.X11-unix/X1 799890              * 799074       
u_str ESTAB 544    0                                                           * 774083              * 787674       
u_str ESTAB 0      0                                          /run/user/1000/bus 779694              * 786634       
